Country,Clicks,Impressions,CTR,Position
Guadeloupe,0,2,0%,8
Suriname,0,2,0%,10
Cuba,0,2,0%,12
St. Martin,0,2,0%,13.5
Réunion,0,2,0%,18
Solomon Islands,0,2,0%,20
Mauritania,0,2,0%,29
Equatorial Guinea,0,1,0%,2
Martinique,0,1,0%,2
Bermuda,0,1,0%,3
San Marino,0,1,0%,4
Monaco,0,1,0%,5
Sierra Leone,0,1,0%,5
Lesotho,0,1,0%,6
Curaçao,0,1,0%,7
Mali,0,1,0%,7
Grenada,0,1,0%,9
Northern Mariana Islands,0,1,0%,9
South Sudan,0,1,0%,9
New Caledonia,0,1,0%,10
Guernsey,0,1,0%,18
Vanuatu,0,1,0%,18
Liberia,0,1,0%,37
Western Sahara,0,1,0%,38
French Polynesia,0,1,0%,53
