Include,Name,Handle,Price (€),Image,Score
true,"Korbboden eckig, 17,5x7cm für Peddigrohr 3mm",korbboden-eckig-175x7cm-364,2.58,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/korbboden-eckig-175x7cm-fur-peddigrohr-3mm-bastelschachtel-79231.jpg?v=1767886421,
true,"Korbboden eckig, 22x29cm für Peddigrohr 3mm",korbboden-eckig-22x29cm-365,6.6,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/korbboden-eckig-22x29cm-fur-peddigrohr-3mm-bastelschachtel-14732.jpg?v=1767886422,
true,"Korbboden Quadrat, 9x9cm für Peddigrohr 3mm",korbboden-eckig-9x9cm-366,1.74,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/korbboden-quadrat-9x9cm-fur-peddigrohr-3mm-bastelschachtel-60526.jpg?v=1767886424,
true,"Korbboden oval, 7x11cm für Peddigrohr 2mm",korbboden-oval-7x11cm-367,1.8,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/korbboden-oval-7x11cm-fur-peddigrohr-2mm-bastelschachtel-90454.jpg?v=1767886426,
true,"Korbboden oval, 10,5x17,5cm für Peddigrohr 2mm",korbboden-oval-105x175-cm-368,2.64,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/korbboden-oval-105x175cm-fur-peddigrohr-2mm-bastelschachtel-27260.jpg?v=1767886429,
true,Korbboden oval 18x24cm für Peddigrohr 3mm,korbboden-oval-18x24-cm-369,4.44,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/korbboden-oval-18x24cm-fur-peddigrohr-3mm-bastelschachtel-84761.jpg?v=1767886429,
true,"Peddigrohr 1mm, 100g",schilf-2mm-100g,6.96,https://cdn.shopify.com/s/files/1/0422/5397/5709/files/Peddigrohr_1mm_100g.png?v=1767886479,
true,"Peddigrohr 2mm, 500g",schilf-2mm-50dkg-512,22.92,https://cdn.shopify.com/s/files/1/0422/5397/5709/files/Peddigrohr_2mm_500g_page1.png?v=1768312411,
true,Korbboden yin-yang für Peddigrohr 2mm,korbboden-ying-yang-749,7.99,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/korbboden-yin-yang-fur-peddigrohr-2mm-bastelschachtel-23451.jpg?v=1767886626,
true,"Korbboden eckig, 16x26cm für Peddigrohr 3mm",korbboden-eckig-16x26cm-750,5.7,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/korbboden-eckig-16x26cm-fur-peddigrohr-3mm-bastelschachtel-96198.jpg?v=1767886627,
true,"Korbboden Set rund, Ø 9cm für Peddigrohr 2mm - 5St",korbboden-set-rund-9cm-5-stuck-2965,5.94,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/korbboden-set-rund-o-9cm-fur-peddigrohr-2mm-5st-bastelschachtel-44538.jpg?v=1767887269,
true,"Korbboden Set eckig für Peddigrohr 3mm, 22x29cm, 2St.",korbboden-eckig-22x29cm-2-stuck-2967,0,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/korbboden-set-eckig-fur-peddigrohr-3mm-22x29cm-2st-bastelschachtel-32927.jpg?v=1753710676,
true,"Korbboden Set rund, Ø 16cm für Peddigrohr 3mm - 3St.",korbboden-rund-16cm-3-stuck-2968,8.7,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/korbboden-set-rund-o-16cm-fur-peddigrohr-3mm-3st-bastelschachtel-46287.jpg?v=1767887270,
true,"Korbboden Set yin-yang für Peddigrohr 2mm, 2 Paar",korbboden-yin-yang-2-paar,14.99,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/korbboden-set-yin-yang-fur-peddigrohr-2mm-2-paar-bastelschachtel-66081.jpg?v=1767887271,
true,"Korbboden Set gemischt, groß für Peddigrohr 2mm und 3mm",korbboden-set-gemischt-gross-2mm-und-3mm,22.99,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/korbboden-set-gemischt-gross-fur-peddigrohr-2mm-und-3mm-bastelschachtel-90811.jpg?v=1767887273,
true,"Korbboden Set gemischt, klein für Peddigrohr 2mm und 3mm",korbboden-set-gemischt-klein-2mm-und-3mm,8.99,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/korbboden-set-gemischt-klein-fur-peddigrohr-2mm-und-3mm-bastelschachtel-89274.jpg?v=1767887297,
true,"Korbboden Set rund, groß für Peddigrohr 2mm und 3mm",korbboden-set-rund-gross-2mm-und-3mm,21.99,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/korbboden-set-rund-gross-fur-peddigrohr-2mm-und-3mm-bastelschachtel-35897.jpg?v=1767887300,
true,"Korbboden Set rund, klein für Peddigrohr 2mm und 3mm",korbboden-set-rund-klein-2mm-und-3mm,9.96,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/korbboden-set-rund-klein-fur-peddigrohr-2mm-und-3mm-bastelschachtel-27371.jpg?v=1767887300,
true,"Korbboden Set eckig, groß für Peddigrohr 3mm",korbboden-set-eckig-gross-3mm,22.68,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/korbboden-set-eckig-gross-fur-peddigrohr-3mm-bastelschachtel-54507.jpg?v=1767887303,
true,"Korbboden Set eckig, 11x7cm für Peddigrohr 3mm, 5St.",korbboden-eckig-11x7cm-3mm-3st,6.6,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/korbboden-set-eckig-11x7cm-fur-peddigrohr-3mm-5st-bastelschachtel-25092.jpg?v=1767887312,
true,"Korbboden Set rund, Ø 7cm für Peddigrohr 2mm - 5St.",korbboden-rund-7cm-2mm-5st,5.82,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/korbboden-set-rund-o-7cm-fur-peddigrohr-2mm-5st-bastelschachtel-66648.jpg?v=1767887312,
true,"Korbboden Set rund, Ø 13cm für Peddigrohr 2mm - 4St.",korbboden-rund-13cm-2mm-4st,7.92,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/korbboden-set-rund-o-13cm-fur-peddigrohr-2mm-4st-bastelschachtel-21713.jpg?v=1767887314,
true,Korbboden Set rund 11cm für Peddigrohr 3mm - 5 Stück,korbboden-rund-11cm-3mm-5st,7.68,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/korbboden-set-rund-o-11cm-fur-peddigrohr-3mm-5st-bastelschachtel-46452.jpg?v=1767887316,
true,"Korbboden Set eckig, 16x26cm für Peddigrohr 3mm, 2St.",korbboden-set-eckig-16x26cm-2st-3119,0,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/korbboden-set-eckig-16x26cm-fur-peddigrohr-3mm-2st-bastelschachtel-63638.jpg?v=1767887329,
true,"Korbboden Set oval, 10,5x17,5cm für Peddigrohr 2mm - 3St.",korbboden-set-oval-10-5x17-5cm-2mm-3st,6.96,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/korbboden-set-oval-105x175cm-fur-peddigrohr-2mm-3st-bastelschachtel-23761.jpg?v=1767887333,
